"intexts","Freq"
"awwh",5
"awww",138
"awwwe",3
"ax",31
"axe",55
"axel",8
"axis",38
"axl",15
"ay",46
"aye",99
"ayee",7
"ayn",24
"ayo",5
"ayy",4
"ayyy",3
"az",108
"aziz",26
"azsportstalk",3
"aztec",15
"aztecs",27
"azure",21
"azz",19
"b",3452
"ba",98
"baba",38
"babay",4
"babble",17
"babcock",26
"babe",261
"babes",62
"babies",707
"baby",3602
"babycakes",7
"babydoll",6
"babygirl",17
"babylon",34
"babys",3
"babysit",29
"babysitter",38
"babysitting",45
"babyy",6
"bac",13
"bacardi",3
"bacc",3
"bach",67
"bachelor",256
"bachelorette",56
"bachelors",18
"bachmann",86
"back",23353
"backatcha",4
"backbone",57
"backchannel",5
"backdrop",139
"backed",443
"backend",4
"backers",80
"background",1004
"backgrounds",132
"backing",318
"backk",5
"backlash",80
"backlog",48
"backpack",119
"backs",283
"backseat",43
"backside",43
"backstage",85
"backstory",42
"backstrom",11
"backup",270
"backups",34
"backward",85
"backwards",178
"backyard",304
"bacon",544
"bacteria",126
"bad",5999
"badass",98
"badasss",3
"badd",9
"baddest",6
"badge",159
"badger",71
"badgers",93
"badges",70
"badly",443
"bae",22
"baeza",3
"baffled",45
"baffles",13
"baffling",27
"bag",1534
"bagel",53
"bagels",56
"baggage",115
"baggy",33
"bagpipes",20
"bags",705
"baguette",37
"bah",39
"baha",18
"bahah",3
"bahaha",26
"bahahah",3
"bahahaha",16
"bahahahaha",5
"bahahahahaha",5
"bahama",9
"bahamas",48
"bahrain",42
"bail",344
"bailed",44
"bailey",187
"bailing",19
"bailout",158
"bailouts",59
"baily",3
"bait",116
"baja",35
"bak",37
"bake",720
"baked",457
"baker",361
"bakersfield",19
"bakery",233
"bakes",28
"baking",862
"bal",12
"balance",1061
"balanced",392
"balancing",112
"balboa",30
"balcony",103
"bald",109
"baldwin",149
"bale",32
"bali",42
"balk",34
"ball",2389
"balla",11
"ballad",67
"ballads",36
"ballard",90
"balled",20
"baller",21
"ballerina",39
"ballet",205
"ballgame",28
"ballin",18
"balling",9
"balloon",123
"balloons",101
"ballot",497
"ballots",101
"ballpark",136
"ballplayer",14
"ballroom",109
"balls",573
"balm",45
"balsamic",74
"balsamo",4
"balt",4
